Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current_dataset	Border_grain	Area_Log	Major_Log	Minor	Minor_Log
81	Aragonite	1.7565	1.4955	4	566.42	6.05	2.5341	2.8713	57.272	1.04	2.83	38.57	128.43	171.84	True	no	0.563323192723745	0.929838544419424	0.693145495442169	-0.366515351695679
82	Aragonite	8.1818	3.2276	6	573.8	11.6	4.9691	2.3703	43.062	0.96	2.56	16.43	114.57	147.29	True	no	2.1019121753072	1.60323873719128	1.64653558994587	0.498673438115924
83	Aragonite	1.1094	1.1885	4	5.21	5.42	1.2745	1.1499	0.33801	0.61	1.24	43.09	56.18	33.85	True	no	0.103819328638997	0.242553944834033	0.870459003530796	-0.138734616195036
84	Aragonite	0.7396	0.97041	2	35.19	4	1.3588	1.9605	180	0.69	1.47	138.26	72.37	151.6	True	no	-0.301645779469167	0.306601957304292	0.544303797468354	-0.608247736773459
85	Aragonite	2.9584	1.9408	5	61.25	8.66	3.1316	2.6036	133.25	0.88	1.61	139.68	72.45	152.38	True	no	1.08464858165072	1.14154405605162	0.94469280878784	-0.0568954744008987
86	Aragonite	1.0632	1.1635	5	193.65	5.43	1.3332	1.313	141.81	0.62	1.02	33.7	151.95	89.32	True	no	0.0612832284168984	0.287582067451448	0.797479747974797	-0.226298839034549
87	Aragonite	0.87827	1.0575	1	214.68	5.26	1.4413	1.8577	111.19	0.61	1.1	146.61	48.31	138.27	True	no	-0.129801215536425	0.36554548410692	0.60935960591133	-0.495346699643345
88	Aragonite	1.9877	1.5908	2	236.28	7.49	2.091	1.7276	106.03	0.6	1.65	96.88	120.45	119.67	True	no	0.686978191414416	0.737642420446497	0.950597800095648	-0.0506642290320803
89	Aragonite	0.60093	0.87471	3	368	5.77	1.28	2.1414	117.21	0.68	1.18	25.86	83.66	141.17	True	no	-0.50927682377614	0.246860077931526	0.4694765625	-0.756136901707666
90	Aragonite	0.5547	0.8404	2	435.5	4.67	0.97925	1.3577	57.312	0.55	1.65	75.67	113.08	154.81	True	no	-0.589327851920948	-0.0209683064361964	0.56645391881542	-0.568359545484752
91	Aragonite	13.96	4.216	6	35.2	14.1	5.272	1.5637	22.152	1.3	3.27	26.57	153.07	79.88	True	no	2.63619609733423	1.66240979720021	2.64795144157815	0.97378630013402
92	Aragonite	1.3405	1.3064	4	53.41	6.66	2.0114	2.3704	157.53	0.85	1.51	114.2	118.8	148.85	True	no	0.293042678693877	0.698830997028243	0.666451228000398	-0.405788318334366
93	Aragonite	1.1094	1.1885	3	135.46	6.88	1.6796	1.9971	95.259	0.58	1.99	100.73	135.61	131.23	True	no	0.103819328638997	0.518555669827901	0.660514408192427	-0.414736341188904
94	Aragonite	1.1556	1.213	4	157.76	6.36	1.3231	1.1897	57.332	0.7	1.46	119.79	104.93	153.92	True	no	0.144619689609943	0.279977468066228	0.873403370871438	-0.135357778456285
95	Aragonite	0.87827	1.0575	4	199.84	6.11	1.1952	1.2775	172.27	0.69	1.73	114.12	115.26	151.32	True	no	-0.129801215536425	0.178313535396416	0.734830990629183	-0.308114750932841
96	Aragonite	0.97072	1.1117	1	296.9	5.71	1.2947	1.3563	18.435	0.77	1.03	57.47	109.27	129.03	True	no	-0.0297172147881493	0.258279008082465	0.749764424190932	-0.287996222870614
97	Aragonite	2.2188	1.6808	4	341.1	8.77	2.0637	1.5075	85.371	1.36	3.15	76.33	53.56	122.83	True	no	0.796966509198942	0.724500488217941	1.07515627271406	0.0724660209810014
98	Aragonite	1.6179	1.4352	3	531.03	8.17	2.0771	2.0945	63.005	0.66	1.03	83.11	45.18	127.6	True	no	0.481129012029154	0.730972690099926	0.778922536228395	-0.249843678070772
99	Aragonite	0.60093	0.87471	2	147.23	7.15	1.0132	1.3416	101.31	0.54	1.4	110.05	142.76	102.03	True	no	-0.50927682377614	0.0131136391453832	0.593101065929728	-0.522390462921523
100	Aragonite	0.46225	0.76717	2	266.7	6.3	0.86456	1.27	135	0.28	1.23	80.9	103.64	145.28	True	no	-0.771649408714903	-0.145534571987227	0.534665031923753	-0.626114836727676
101	Aragonite	0.69337	0.93959	1	336.67	6.27	1.0292	1.1999	5.8841	0.85	1.07	138.66	92.52	55.91	True	no	-0.36619151173784	0.0287818014254519	0.673698017877964	-0.394973313163292
102	Aragonite	1.4792	1.3724	4	350.31	8.91	2.1404	2.4324	133.12	0.7	1.53	92.28	75.13	144.01	True	no	0.391501401090778	0.760992727455013	0.691085778359185	-0.369491326364235
103	Aragonite	1.9877	1.5908	7	514.65	9.53	2.1629	1.8485	87.348	0.67	1.28	61.65	80.96	137.19	True	no	0.686978191414416	0.771449913817119	0.918997642054649	-0.0844717224027026
104	Aragonite	29.584	6.1374	6	6.39	19.22	6.4745	2.2257	71.917	1.66	4.28	40.11	59.96	38	True	edge	3.38723367464477	1.86787138452676	4.56931037145726	1.51936229011801
105	Aragonite	0.60093	0.87471	3	161.15	8.23	1.2025	1.8898	78.69	0.48	0.9	153.15	79.25	149.2	True	no	-0.50927682377614	0.184402722997779	0.499733887733888	-0.693679546773919
106	Aragonite	3.4207	2.0869	5	164.66	12.38	2.4069	1.3301	90.3	0.75	2.2	115.37	132.12	137.73	True	no	1.22984520849333	0.878339612445583	1.42120570027837	0.351505596047746
107	Aragonite	0.64715	0.90773	3	264.29	8.21	1.0757	1.4044	125.6	0.62	0.87	137.3	61.36	132.99	True	no	-0.43517717209369	0.0729716124558228	0.601608255089709	-0.508148784549513
108	Aragonite	4.7612	2.4621	10	399.25	12.22	2.9988	1.4835	157.84	0.91	2.54	1.52	132.27	116.77	True	no	1.56049973731159	1.09821220864677	1.58770174736561	0.462287528664818
109	Aragonite	0.78583	1.0003	2	408.53	7.71	1.3221	1.7469	50.606	0.89	1.69	17.11	103.93	162.13	True	no	-0.241014794933179	0.279221381533914	0.594380152787232	-0.520236176467093
110	Aragonite	2.1263	1.6454	3	414.3	11.41	2.1509	1.7088	106.55	0.78	1.55	11.83	130.67	129.29	True	no	0.754383380030519	0.76588635920025	0.988562927146776	-0.0115029791697316
111	Aragonite	0.9245	1.0849	4	491.3	7.75	1.2577	1.3438	141.59	0.44	1.16	50.44	100.22	143.05	True	no	-0.0785022281549575	0.229284656070973	0.735071956746442	-0.30778688422593
112	Aragonite	0.83205	1.0293	2	569.11	8	1.3922	1.8296	48.758	0.53	1.29	42.75	68.66	147.64	True	no	-0.183862743812784	0.330885229752429	0.597651199540296	-0.514747973565213
113	Aragonite	7.812	3.1538	7	591.11	23.74	7.6747	5.9218	85.133	1.72	3.72	68.97	110.02	2.79	True	no	2.05566101301443	2.03792920476142	1.01788995009577	0.0177318082530081
114	Aragonite	1.1556	1.213	2	28.2	10.96	1.5928	1.7243	80.293	0.91	1.9	132.72	147.71	76.59	True	no	0.144619689609943	0.465493473767849	0.725514816675038	-0.320873784157906
115	Aragonite	2.5886	1.8155	6	139.8	12.04	2.5213	1.9287	101.71	0.68	1.4	1.09	136.94	50.15	True	no	0.951117189026201	0.924774641522465	1.026692579225	0.0263425475037355
116	Aragonite	1.2481	1.2606	3	144.93	10.44	1.4376	1.3005	110.64	0.81	1.59	71.48	93.48	178.14	True	no	0.221622394942271	0.362975056487212	0.868183082915971	-0.141352661544941
117	Aragonite	3.8829	2.2235	6	176.68	12.14	3.704	2.7751	148.18	0.74	2.28	126.41	124.75	146.66	True	no	1.35658229713437	1.30941331678393	1.04829913606911	0.047168980350432
118	Aragonite	1.2943	1.2837	5	180.82	9.32	1.5831	1.5208	143.37	0.55	1.83	78.86	131.04	129.86	True	no	0.257970008466255	0.459384950097595	0.817573116038153	-0.201414941631339
119	Aragonite	0.78583	1.0003	3	185	8.88	1.2903	1.6639	130.54	0.42	1	151.15	61.36	137.85	True	no	-0.241014794933179	0.254874749475663	0.60902890800589	-0.495889544408842
120	Aragonite	1.7565	1.4955	5	200.45	11.71	1.8904	1.5979	116.37	0.62	1.57	34.19	153.62	88.76	True	no	0.563323192723745	0.636788446890561	0.929168429961913	-0.0734652541668165
121	Aragonite	2.5886	1.8155	6	359.18	9.41	2.3224	1.6365	10.818	0.66	1.25	26.09	84.22	143.33	True	no	0.951117189026201	0.842601133728283	1.11462280399587	0.108516055297918
122	Aragonite	1.1094	1.1885	5	370.58	9.88	1.669	1.9719	57.367	0.69	1.23	13.85	102.65	143.3	True	no	0.103819328638997	0.512224644679698	0.664709406830437	-0.408405316040701
123	Aragonite	0.50848	0.80462	2	393	9	1.2528	2.4244	110.3	0.53	0.79	14.35	102.36	140.76	True	no	-0.676329395633786	0.225381046254402	0.405874840357599	-0.901710441888187
124	Aragonite	1.9877	1.5908	4	447.28	11.35	1.963	1.5225	66.38	0.67	1.33	67.76	90.11	141.28	True	no	0.686978191414416	0.674473915294324	1.01258278145695	0.0125042761200923
125	Aragonite	0.60093	0.87471	3	457.15	10.15	1.605	3.3668	100.06	0.69	1.02	28.46	128.57	128.08	True	no	-0.50927682377614	0.473123756581979	0.374411214953271	-0.98240058035812
126	Aragonite	0.97072	1.1117	4	459.81	9.33	1.2962	1.3593	106.55	0.44	0.97	120.02	44.81	118.67	True	no	-0.0297172147881493	0.259436907011479	0.748896775189014	-0.289154121799628
127	Aragonite	0.46225	0.76717	2	478.1	8.9	0.98759	1.6572	97.688	0.74	1.36	55.94	91.12	143.56	True	no	-0.771649408714903	-0.0124876471192821	0.468058607316801	-0.759161761595621
128	Aragonite	3.9753	2.2498	6	487.55	14.17	2.9252	1.6906	99.587	0.87	1.63	66.05	72.57	143.62	True	no	1.38010021695656	1.07336285441466	1.35898400109394	0.306737362541904
