Nr.,Phase,Area,d,l,Xcg,Ycg,Major,Aspect_ratio,Slope,GOS,MOS,Mean_E1,Mean_E2,Mean_E3,In_current_dataset,Border_grain,Area_Log,Major_Log,Minor,Minor_Log
56,Aragonite,3.1989,2.0182,3,222.18,15.9,3.6026,3.1866,89.091,0.77,1.59,78.57,52.92,175.5,True,no,1.16280700071011,1.28165580700732,0.887942041858658,-0.118848806297214
57,Aragonite,4.1428,2.2967,6,231.85,19.09,3.7351,2.6448,112.93,1.01,2.54,158.44,153.17,111.92,True,no,1.42137188773259,1.31777459198808,1.10915370405076,0.103597295744503
58,Aragonite,5.2441,2.584,7,67.61,19.31,4.1391,2.5659,109.65,0.73,1.92,147.89,117.42,54.02,True,no,1.6571036351323,1.42047837289996,1.26696624870141,0.236625262232336
59,Aragonite,4.1428,2.2967,5,218.49,19.1,5.022,4.7812,97.774,0.67,1.89,80.1,3.05,171.38,True,no,1.42137188773259,1.61382826073539,0.824930306650737,-0.192456373002807
60,Aragonite,0.57685,0.85701,2,312.82,11.91,1.0538,1.512,42.993,0.7,1.34,110.51,108.66,35.57,True,no,-0.550173011608838,0.0524026787930484,0.5473998861264,-0.602575690401887
61,Aragonite,1.1537,1.212,1,326.95,12.32,2.1689,3.2023,149.31,0.75,1.51,135.88,82.27,37.74,True,no,0.142974168951107,0.774220126586424,0.531928627414819,-0.631245957635317
62,Aragonite,6.4502,2.8658,6,14.37,29.24,7.252,6.4037,83.059,0.92,2.53,60.48,48.28,13.92,True,no,1.86411113807889,1.9812772928926,0.889437396580254,-0.117166154813716
63,Aragonite,0.73417,0.96684,2,36.64,13.5,1.5447,2.5527,73.949,0.98,2.15,155.16,128.06,88.3,True,no,-0.3090146695551,0.434829716738068,0.475283226516476,-0.743844386293168
64,Aragonite,0.57685,0.85701,2,38.64,14.27,1.7051,3.9583,86.942,0.59,1.04,87.61,105.38,54.55,True,no,-0.550173011608838,0.533623760041969,0.338308603600962,-1.08379677165081
65,Aragonite,2.4123,1.7525,1,86.8,15.54,2.1835,1.5522,95.937,0.72,1.89,138.95,149.96,19.67,True,no,0.880580649240076,0.780929093943479,1.10478589420655,0.0996515552965974
66,Aragonite,3.2513,2.0346,4,184.48,16.9,3.2762,2.5928,88.075,0.91,2.07,11.02,8.29,54.54,True,no,1.17905491636297,1.18668421418839,0.99239973139613,-0.00762929782542072
67,Aragonite,0.78662,1.0008,2,193.6,13.13,1.257,1.5777,111.86,0.4,1,165.72,135.12,88.47,True,no,-0.240009993424111,0.22872792960811,0.625791567223548,-0.468737923032221
68,Aragonite,4.2477,2.3256,3,3.89,19.12,3.3903,2.1252,88.492,0.54,1,65.63,56.88,21.36,True,no,1.4463776599769,1.22091841305208,1.25289797363065,0.22545924692482
69,Aragonite,0.52441,0.81713,3,228,13.5,1.0442,1.633,116.57,0.56,0.94,133.82,63.94,42.65,True,no,-0.645481457861749,0.043251041994315,0.502212219881249,-0.688732499856064
70,Aragonite,0.62929,0.89512,2,145.75,15.17,1.2653,1.9981,121.85,0.95,1.75,112.73,98.63,54.62,True,no,-0.463163079247683,0.235309248213081,0.497344503279855,-0.698472327460764
71,Aragonite,2.255,1.6944,3,153.77,18.26,2.5134,2.2002,97.806,0.77,2.16,81.13,96.68,76.27,True,no,0.813149972954642,0.921636418198907,0.897191055940161,-0.108486445244265
72,Aragonite,1.5208,1.3915,2,188.93,16.72,1.9319,1.9276,93.286,0.82,1.44,162.08,170.14,92.59,True,no,0.419236512192082,0.658503974616371,0.787204306641131,-0.239267462424289
73,Aragonite,2.9891,1.9509,3,313.09,17.46,2.2456,1.325,69.091,0.65,2.1,101.02,18.46,98.54,True,no,1.09497233874751,0.808972746065536,1.33109191307446,0.285999592681978
74,Aragonite,2.255,1.6944,4,323.93,19.35,3.1116,3.3723,89.652,0.96,2.12,137.32,83.47,40.22,True,no,0.813149972954642,1.13513706335048,0.724707545957064,-0.32198709039584
75,Aragonite,1.1537,1.212,1,340.27,14.86,1.4394,1.4104,143.43,0.91,2.24,152.49,164.29,178.87,True,no,0.142974168951107,0.364226360091567,0.801514519938863,-0.22125219114046
76,Aragonite,0.57685,0.85701,2,356.45,14.36,0.92029,1.1531,18.435,0.25,1.09,80.17,74.2,33.62,True,no,-0.550173011608838,-0.0830664412183108,0.626813287116018,-0.467106570390528
