Nr.,Phase,Area,d,l,Xcg,Ycg,Major,Aspect_ratio,Slope,GOS,MOS,Mean_E1,Mean_E2,Mean_E3,In_current_dataset,Border_grain,Area_Log,Major_Log,Minor,Minor_Log
104,Aragonite,2.52,1.7912,0,408.93,9.61,1.9635,1.2015,70.199,0.67,1.22,76.85,152.65,26.86,True,no,0.924258901523332,0.674728595035927,1.28342245989305,0.249530306487405
105,Aragonite,3.96,2.2454,7,316.68,12.86,4.9084,4.7783,30.726,0.67,1.45,25.15,59.14,161.38,True,no,1.37624402526639,1.59094802312026,0.806780213511531,-0.214703997853867
106,Aragonite,1.08,1.1726,0,54,10.5,1.3722,1.3693,90,0.42,1.74,141.23,61.11,55.2,True,no,0.0769610411361284,0.316415291274653,0.787057280279843,-0.239454250138525
107,Aragonite,3.24,2.0311,4,104.31,13.28,2.9838,2.1582,129.97,0.62,1.07,168.48,97.5,83.2,True,no,1.17557332980424,1.09319765596661,1.08586366378444,0.0823756738376274
108,Aragonite,2.34,1.7261,6,122,13.23,2.8293,2.6868,103.75,0.84,1.53,81.34,99.3,70.82,True,no,0.85015092936961,1.04002933123581,0.827059696744778,-0.189878401866202
109,Aragonite,1.53,1.3957,3,154.06,11.24,1.5031,1.1598,104.99,0.46,0.83,83.77,109.97,81.37,True,no,0.425267735404344,0.407529642157043,1.0178963475484,0.0177380932473007
110,Aragonite,3.51,2.114,5,174.1,12.56,2.3981,1.2868,134.1,1.53,2.67,112.82,101.89,72.75,True,no,1.25561603747777,0.874676757153691,1.46365872982778,0.380939280324084
111,Aragonite,1.08,1.1726,4,210.25,10.33,1.2563,1.1477,109.81,0.39,0.65,163.86,105.78,74.51,True,no,0.0769610411361284,0.228170893028235,0.859667276924302,-0.151209851892107
112,Aragonite,1.35,1.3111,3,213.73,11.93,1.7018,1.6848,52.831,0.43,1.14,164.71,104.55,76.92,True,no,0.300104592450338,0.53168651443332,0.793277705958397,-0.231581921982982
113,Aragonite,1.08,1.1726,3,231.42,11.17,2.004,2.9204,113.55,0.71,1.24,74.78,84.12,101.06,True,no,0.0769610411361284,0.695145183222618,0.538922155688623,-0.61818414208649
114,Aragonite,2.7,1.8541,5,243.6,13.03,2.5974,1.9625,51.2,0.58,1.19,57.75,116.39,87.62,True,no,0.993251773010283,0.954510944693853,1.03950103950104,0.0387408283164306
115,Aragonite,29.88,6.168,13,334.79,22.92,11.28,3.3445,36.286,1.33,3.59,28.32,77.05,174.19,True,no,3.39718936026462,2.42303124606991,2.64893617021277,0.974158114194704
116,Aragonite,1.17,1.2205,2,382.54,11.31,1.3609,1.2432,78.69,0.55,1.16,143.98,12.01,62.98,True,no,0.157003748809665,0.308146245584135,0.859725181864942,-0.15114249677447
117,Aragonite,0.9,1.0705,3,393.9,9.8,1.4327,1.7912,20.621,0.18,0.31,27.11,62,169.26,True,no,-0.105360515657826,0.35956077591719,0.628184546660152,-0.464921291575016
118,Aragonite,2.34,1.7261,1,416.38,10.85,1.4006,1.3169,157.1,0.51,1.23,67.5,161.16,23.59,True,edge,0.85015092936961,0.33690071623928,1.67071255176353,0.51325021313033
119,Aragonite,1.53,1.3957,0,82.29,11.94,1.5755,1.2742,164.05,0.59,0.98,114.14,103.01,59.49,True,no,0.425267735404344,0.454572682215192,0.97112027927642,-0.029304946810848
120,Aragonite,7.56,3.1025,4,147.46,15.32,3.913,1.5907,115.33,1.27,3.19,18.04,64.45,95.74,True,no,2.02287119019144,1.36430434322828,1.93202146690519,0.658566846963166
121,Aragonite,4.32,2.3453,6,228.25,14.33,2.7116,1.3368,103.99,0.7,3.04,12.41,97.22,100.11,True,no,1.46325540225602,0.997538866574673,1.59315533264493,0.465716535681346
122,Aragonite,7.2,3.0278,7,252.77,15.34,4.368,2.0812,142.25,1.27,2.83,159.91,89.19,83.83,True,no,1.97408102602201,1.4743052384426,1.64835164835165,0.499775787579406
123,Aragonite,4.95,2.5105,5,274.2,17.05,3.787,2.2754,89.469,1.06,2.37,57.32,79.2,89.31,True,no,1.5993875765806,1.33157414891966,1.30710324795353,0.267813427660941
124,Aragonite,1.71,1.4755,4,313.47,11.68,2.287,2.4023,38.393,0.48,1.41,123.13,17.03,73.25,True,no,0.536493370514568,0.827240915040644,0.74770441626585,-0.290747544526076
125,Aragonite,1.26,1.2666,4,376.86,11.5,1.4077,1.2353,27.458,0.72,1.02,23.57,69.7,173.89,True,no,0.231111720963387,0.341957166851783,0.895077076081552,-0.110845445888396
126,Aragonite,3.51,2.114,8,388.08,15.41,3.5007,2.7422,50.36,1.52,2.44,130.28,23.23,79.46,True,no,1.25561603747777,1.25296294849803,1.00265661153484,0.00265308897974016
127,Aragonite,1.98,1.5878,5,395.27,12.55,2.0094,1.6017,44.324,0.44,0.77,45.24,51.39,156.68,True,no,0.683096844706444,0.697836170046077,0.985368766796059,-0.0147393253396329
128,Aragonite,1.17,1.2205,0,49.38,12.38,1.3223,1.1737,135,0.17,1.13,128.87,72.21,59.32,True,no,0.157003748809665,0.27937264458064,0.884821901232701,-0.122368895770975
129,Aragonite,2.61,1.823,4,93.31,14.21,2.0377,1.2495,71.696,0.44,0.84,120.55,92.04,69.73,True,no,0.959350221334602,0.711821720824754,1.28085586690877,0.247528500509848
130,Aragonite,1.89,1.5513,5,97.81,12.9,1.6233,1.0951,86.693,0.31,0.47,117.42,86.3,79.83,True,no,0.636576829071551,0.484461114334662,1.16429495472186,0.152115714736889
131,Aragonite,1.26,1.2666,3,124.79,13.79,1.7655,1.943,96.047,0.32,0.65,146.88,110.89,90.1,True,no,0.231111720963387,0.568433936386304,0.713678844519966,-0.337322215422917
132,Aragonite,2.88,1.9149,4,199,14.69,2.1529,1.2641,108.07,0.56,1.18,158.57,104.25,88.85,True,no,1.05779029414785,0.766815770485146,1.33773050304241,0.290974523662708
133,Aragonite,3.69,2.1675,8,265.78,13.15,2.9787,1.8885,176.19,1.18,2.18,56.15,85.46,94.3,True,no,1.30562645805244,1.09148696372552,1.23879544767852,0.214139494326915
134,Aragonite,2.25,1.6926,5,134.52,13.76,2.0386,1.4507,162.47,0.33,1.88,88.94,70.47,70.92,True,no,0.810930216216329,0.712263297752175,1.10369861669773,0.0986669184641533
135,Aragonite,1.44,1.3541,5,162.88,14,1.6523,1.4891,127.56,0.71,1.35,80.94,112.53,81.51,True,no,0.364643113587909,0.502168256674808,0.871512437208739,-0.137525143086899
136,Aragonite,1.26,1.2666,5,184.64,13.79,1.9922,2.474,129.66,0.58,0.82,112.53,96.88,53.72,True,no,0.231111720963387,0.689239555728928,0.632466619817287,-0.458127834765542
137,Aragonite,1.08,1.1726,3,189.25,15,2.0437,3.0373,93.38,0.77,1.27,142.73,116.24,79.88,True,no,0.0769610411361284,0.714761890532353,0.528453295493468,-0.637800849396225
138,Aragonite,4.77,2.4644,7,209.85,15.98,3.1853,1.6706,143.21,0.75,1.49,90.74,111.13,112.13,True,no,1.56234630490025,1.15854647611115,1.49750415973378,0.403799828789103
139,Aragonite,2.25,1.6926,3,284.72,16.28,2.6123,2.3821,81.684,0.58,1.22,4.43,86.24,96.43,True,no,0.810930216216329,0.960231059336521,0.8613099567431,-0.149300843120192
