Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current_dataset	Border_grain
154	Aragonite	2.1142	1.6407	4	45.55	92.14	1.7244	1.1046	162.72	0.68	1.41	61.66	114.43	20.26	True	no
155	Aragonite	0.961	1.1062	4	49.60	90.70	1.123	1.0308	26.565	0.08	0.42	40.27	53.40	21.49	True	no
156	Aragonite	1.4415	1.3548	3	59.00	90.73	2.2562	2.7735	159.38	0.78	1.55	125.55	21.37	42.24	True	no
157	Aragonite	1.6337	1.4423	5	65.53	90.29	1.882	1.7028	12.284	1.01	1.77	142.26	166.68	80.83	True	no
158	Aragonite	1.7298	1.4841	3	108.22	91.56	2.1415	2.0823	16.845	1.09	1.89	21.00	101.76	108.46	True	no
159	Aragonite	2.883	1.9159	4	178.57	92.17	2.2709	1.4049	126.7	0.42	0.85	133.36	57.61	139.44	True	no
160	Aragonite	2.1142	1.6407	1	204.05	90.91	1.881	1.3144	174.4	0.54	1.72	150.45	125.74	24.12	True	no
161	Aragonite	3.2674	2.0397	4	69.24	93.88	2.5663	1.5831	97.743	0.87	2.12	136.93	20.25	29.13	True	no
162	Aragonite	6.6309	2.9056	5	118.32	93.97	3.8265	1.7343	5.1631	0.79	1.37	145.15	68.22	90.93	True	no
163	Aragonite	1.2493	1.2612	3	141.23	92.46	1.7813	1.9949	69.444	0.81	1.17	157.00	69.47	38.22	True	no
164	Aragonite	2.5947	1.8176	4	171.30	92.11	2.2887	1.5856	149.12	0.82	2.01	163.65	31.43	25.14	True	no
165	Aragonite	2.0181	1.603	5	53.05	94.14	1.9744	1.5172	100.16	0.94	2.34	131.33	87.25	32.10	True	no
166	Aragonite	1.0571	1.1601	3	90.18	92.55	1.4234	1.5054	131.03	0.74	0.80	123.96	51.37	84.59	True	no
167	Aragonite	1.1532	1.2117	3	97.83	92.00	1.583	1.7067	160.19	0.31	0.44	39.61	46.22	103.53	True	no
168	Aragonite	1.0571	1.1601	3	126.36	93.27	1.6051	1.9142	142.71	0.73	0.96	22.76	58.39	129.53	True	no
169	Aragonite	10.09	3.5844	7	157.88	95.89	4.7447	1.7522	13.171	1.63	3.79	156.65	78.02	41.97	True	no
