Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
929	Aragonite	3.0276	1.9634	6	172.36	148.69	3.5136	3.2026	71.054	1.17	1.71	69.08	74.03	175.90	True	no
930	Aragonite	2.1866	1.6686	4	202.92	146.38	1.8845	1.2756	140.45	0.58	1.43	170.48	16.53	9.99	True	no
931	Aragonite	4.9619	2.5135	5	249.22	149.20	3.4618	1.8969	113.71	0.87	1.81	74.99	39.70	79.62	True	no
932	Aragonite	1.5138	1.3883	4	280.44	146.83	2.402	2.9934	94.609	0.58	1.83	106.13	151.46	0.21	True	no
933	Aragonite	1.1774	1.2244	3	287.50	146.00	1.4791	1.4594	75.128	0.54	1.15	6.41	166.91	147.79	True	no
934	Aragonite	1.9343	1.5693	4	310.09	147.39	2.0066	1.6349	68.416	0.87	1.88	31.12	143.76	175.81	True	no
935	Aragonite	1.0092	1.1336	2	319.50	146.00	1.4187	1.5664	117.5	0.30	0.88	31.39	107.22	164.53	True	no
936	Aragonite	2.6071	1.8219	5	374.19	146.52	2.2459	1.5195	178	1.07	2.77	145.39	140.64	103.39	True	no
937	Aragonite	4.4573	2.3823	4	389.72	151.28	4.6265	3.7715	45.157	1.41	3.66	21.53	72.53	41.69	True	no
938	Aragonite	1.1774	1.2244	3	538.00	145.14	1.5012	1.5033	18.937	0.20	0.71	164.57	121.88	130.31	True	no
939	Aragonite	4.5414	2.4046	5	576.13	148.65	3.918	2.6548	26.768	1.11	2.80	17.48	105.62	27.56	True	no
940	Aragonite	3.1117	1.9905	3	626.16	147.92	2.4324	1.4934	110.11	1.13	2.25	125.20	28.84	36.02	True	no
941	Aragonite	3.8686	2.2194	4	645.67	148.22	2.365	1.1355	2.9909	1.07	2.65	5.70	32.88	147.96	True	no
942	Aragonite	2.1025	1.6361	3	651.36	146.60	1.9706	1.4506	3.1299	0.64	1.22	158.37	88.00	16.68	True	no
943	Aragonite	6.2234	2.8149	7	700.58	149.23	3.2929	1.3684	111.88	1.07	2.60	133.02	86.15	118.79	True	no
944	Aragonite	1.8502	1.5348	5	139.36	148.05	2.1333	1.9318	120.26	0.92	1.43	39.70	53.26	128.16	True	no
945	Aragonite	0.841	1.0348	4	143.50	146.00	1.3223	1.633	26.565	0.77	1.85	178.14	111.69	147.77	True	no
946	Aragonite	1.0092	1.1336	3	145.42	148.17	1.8908	2.7822	82.534	0.38	1.38	22.93	135.10	70.90	True	no
947	Aragonite	5.3824	2.6178	6	187.59	149.53	2.8673	1.1996	118.46	1.18	2.04	0.15	104.92	146.06	True	no
948	Aragonite	1.1774	1.2244	5	290.14	147.29	1.6145	1.7389	49.662	0.38	0.98	43.02	109.86	64.10	True	no
949	Aragonite	0.841	1.0348	5	294.40	146.70	1.0506	1.0308	153.43	0.40	0.74	19.84	88.51	94.38	True	no
950	Aragonite	0.9251	1.0853	4	313.55	147.09	1.4712	1.8376	99.547	0.35	0.69	164.43	112.03	111.87	True	no
951	Aragonite	3.2799	2.0436	6	317.90	149.82	3.089	2.2849	120.06	1.30	2.36	44.65	127.33	126.18	True	no
952	Aragonite	1.0092	1.1336	2	327.00	147.17	1.4809	1.7067	109.81	0.39	1.29	152.55	42.40	112.49	True	no
953	Aragonite	11.606	3.8441	10	356.69	152.17	6.0374	2.4667	150.17	1.38	2.64	119.87	132.28	167.07	True	no
954	Aragonite	1.4297	1.3492	4	445.76	146.71	1.5058	1.2457	35.588	0.61	1.49	54.23	111.10	130.17	True	no
955	Aragonite	7.4008	3.0697	10	519.23	153.53	4.4228	2.0759	105.62	1.12	2.27	80.56	18.62	3.66	True	no
956	Aragonite	3.7004	2.1706	7	583.45	148.80	2.4528	1.2769	24.947	0.90	2.10	163.90	130.12	142.95	True	no
957	Aragonite	1.4297	1.3492	4	62.41	149.76	2.1708	2.5888	87.638	0.44	0.80	79.68	108.86	93.83	True	no
958	Aragonite	7.6531	3.1216	6	85.54	153.33	5.0374	2.6042	143.57	1.35	3.05	132.13	102.22	105.37	True	no
959	Aragonite	1.5138	1.3883	3	104.67	148.39	1.8093	1.6985	123.41	0.79	1.55	65.95	145.38	94.82	True	no
960	Aragonite	3.4481	2.0953	6	119.95	149.49	2.2251	1.1278	172	0.66	1.18	168.25	92.22	160.64	True	no
961	Aragonite	3.6163	2.1458	6	128.81	150.33	2.839	1.7505	103.11	0.71	1.61	29.82	128.15	74.76	True	no
962	Aragonite	13.624	4.165	11	146.72	155.81	5.2674	1.5995	73.327	1.14	3.05	144.09	83.53	138.87	True	no
963	Aragonite	0.841	1.0348	3	175.80	148.10	1.3849	1.7912	110.62	0.39	0.76	114.07	38.08	81.56	True	no
964	Aragonite	1.0092	1.1336	3	179.25	147.58	1.2976	1.3103	57.933	0.35	0.69	3.19	104.08	144.73	True	no
965	Aragonite	0.841	1.0348	3	209.10	147.20	1.3849	1.7912	20.621	0.27	1.10	102.42	37.36	115.78	True	no
966	Aragonite	3.8686	2.2194	4	238.37	150.15	2.6414	1.4165	88.361	0.51	1.43	139.58	28.71	79.24	True	no
967	Aragonite	3.1958	2.0172	5	260.61	147.87	3.2918	2.663	173.96	1.24	2.85	177.16	114.81	42.80	True	no
968	Aragonite	2.3548	1.7315	4	268.82	148.71	2.0637	1.4204	157.19	0.67	1.48	1.78	87.04	171.61	True	no
969	Aragonite	1.1774	1.2244	6	302.57	148.21	1.3283	1.1769	81.918	0.13	0.69	150.77	154.64	80.86	True	no
970	Aragonite	0.9251	1.0853	2	355.45	147.27	1.5514	2.0433	17.412	0.51	0.80	112.38	35.53	114.77	True	no
971	Aragonite	1.4297	1.3492	2	552.47	148.18	1.876	1.9334	48.467	0.52	0.57	72.58	164.02	124.05	True	no
972	Aragonite	3.1958	2.0172	2	635.71	149.95	2.9498	2.1384	144.09	0.78	1.30	129.03	28.11	33.26	True	no
973	Aragonite	1.8502	1.5348	4	677.91	148.09	1.6146	1.1066	45	0.54	0.96	150.90	55.06	6.25	True	no
974	Aragonite	1.5979	1.4264	1	86.79	149.11	2.2767	2.5477	143.39	1.00	2.09	66.39	109.53	86.27	True	no
975	Aragonite	2.7753	1.8798	5	108.58	151.09	2.3523	1.5658	74.802	0.85	2.03	21.76	54.25	15.90	True	no
976	Aragonite	3.5322	2.1207	4	180.43	152.02	2.6646	1.5787	72.445	1.56	2.93	129.17	40.98	63.26	True	no
977	Aragonite	0.9251	1.0853	2	201.09	149.27	1.6323	2.2621	126.6	0.49	0.99	179.53	73.94	2.89	True	no
978	Aragonite	1.5138	1.3883	3	219.22	148.72	1.9951	2.0651	19.995	1.05	1.95	175.09	117.32	170.34	True	no
979	Aragonite	2.6912	1.8511	6	284.06	150.94	2.1555	1.3559	84.883	0.42	0.77	119.27	61.67	140.70	True	no
980	Aragonite	1.5979	1.4264	3	334.37	149.53	1.9968	1.9597	41.088	0.74	1.43	45.11	92.44	8.03	True	no
981	Aragonite	1.0092	1.1336	2	536.42	148.25	1.2976	1.3103	147.93	0.33	1.20	66.96	136.42	15.59	True	no
982	Aragonite	0.9251	1.0853	2	542.00	148.36	1.4334	1.7442	30.695	0.44	0.72	176.45	139.21	7.59	True	no
983	Aragonite	2.4389	1.7622	3	557.10	148.93	2.6565	2.2726	16.353	1.02	1.97	143.17	116.87	143.02	True	no
984	Aragonite	1.7661	1.4996	3	673.29	149.81	1.7183	1.313	75.093	0.83	1.67	101.87	83.04	24.08	True	no
985	Aragonite	1.8502	1.5348	5	55.64	149.86	1.8416	1.4396	157.98	0.66	0.99	28.82	132.98	35.87	True	no
