Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
3826	Aragonite	1.0935	1.18	2	496.13	377.07	1.8826	2.5455	102.91	0.63	1.12	113.28	151.01	176.11	True	no
3827	Aragonite	11.008	3.7438	8	521.73	391.57	9.1902	6.0261	108.31	1.72	3.32	122.86	34.45	172.04	True	no
3828	Aragonite	1.6038	1.429	2	92.23	376.18	2.2269	2.4286	11.202	0.72	1.01	171.28	160.33	124.00	True	no
3829	Aragonite	0.8019	1.0105	2	221.64	375.64	1.1797	1.3631	64.587	0.41	0.75	97.98	109.12	56.79	True	no
3830	Aragonite	1.3122	1.2926	5	232.72	376.22	1.5038	1.3536	121.1	0.44	0.73	41.70	111.06	65.80	True	no
3831	Aragonite	1.3122	1.2926	3	307.72	376.83	1.712	1.7543	83.803	0.50	1.32	86.52	117.06	178.21	True	no
3832	Aragonite	3.7908	2.197	6	322.08	379.19	3.4599	2.4802	77.888	0.92	1.52	84.06	53.10	173.91	True	no
3833	Aragonite	0.9477	1.0985	1	351.77	376.46	1.5437	1.975	52.18	0.47	0.83	34.65	101.28	157.24	True	no
3834	Aragonite	0.729	0.96343	2	421.00	375.80	1.5035	2.4354	115.67	0.42	1.11	128.65	95.12	176.56	True	no
3835	Aragonite	2.5515	1.8024	4	471.51	378.91	3.2123	3.1764	121.76	0.94	2.01	158.25	132.37	21.15	True	no
3836	Aragonite	1.8225	1.5233	5	525.96	376.36	1.7264	1.2844	125.89	0.65	1.44	155.01	126.56	44.96	True	no
3837	Aragonite	9.9873	3.566	8	164.80	381.88	4.0926	1.3171	159.93	1.46	3.01	60.71	40.11	129.55	True	no
3838	Aragonite	3.8637	2.218	6	219.77	380.64	3.4214	2.3795	124.59	0.74	1.90	49.04	48.30	135.09	True	no
3839	Aragonite	4.374	2.3599	7	246.57	380.23	2.7151	1.3237	130.22	0.82	1.75	81.80	51.66	30.88	True	no
3840	Aragonite	0.9477	1.0985	3	256.23	376.54	1.3705	1.5565	78.982	0.63	1.56	35.98	16.90	91.56	True	no
3841	Aragonite	3.2805	2.0437	7	292.40	382.33	3.4436	2.8391	88.151	0.65	1.08	105.00	117.18	167.74	True	no
3842	Aragonite	1.2393	1.2562	4	334.29	378.06	2.2546	3.2215	92.229	0.88	2.12	81.98	150.90	149.43	True	no
3843	Aragonite	0.729	0.96343	4	366.00	376.50	1.2312	1.633	63.435	0.42	0.47	78.43	108.35	144.26	True	no
3844	Aragonite	3.0618	1.9744	3	467.67	379.43	2.774	1.974	124.04	0.83	2.22	104.65	23.05	41.08	True	no
3845	Aragonite	4.2282	2.3202	3	538.47	380.47	3.6226	2.4377	124.08	1.42	2.61	77.14	50.13	65.78	True	no
3846	Aragonite	21.433	5.2239	3	557.78	384.19	5.2356	2.009	124.52	1.13	2.62	102.02	79.39	29.14	True	edge
3847	Aragonite	7.5816	3.107	2	47.02	384.54	4.1116	1.7513	72.456	1.12	1.95	170.58	159.55	123.77	True	no
3848	Aragonite	8.019	3.1953	4	112.87	380.86	4.3866	1.8846	179.27	1.11	2.64	15.35	68.42	1.59	True	no
3849	Aragonite	1.0935	1.18	2	123.53	377.67	1.33	1.2704	65.015	0.77	0.84	58.78	25.14	78.38	True	no
3850	Aragonite	4.5927	2.4182	5	214.11	382.46	2.7645	1.3069	118.44	0.89	1.97	9.39	101.05	147.91	True	no
3851	Aragonite	1.6038	1.429	3	268.64	378.45	1.8143	1.612	22.021	0.36	0.96	77.05	138.28	83.23	True	no
3852	Aragonite	1.3122	1.2926	4	327.94	377.61	1.4647	1.284	156.77	0.37	0.85	103.40	84.81	174.05	True	no
3853	Aragonite	1.0206	1.1399	3	484.86	378.36	1.4467	1.6107	125.19	0.66	2.05	2.30	165.04	61.94	True	no
