Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
866	Aragonite	10.26	3.6143	10	224.46	139.94	5.6782	2.4681	167.39	1.80	3.75	143.41	110.76	130.65	True	no
867	Aragonite	10.62	3.6772	12	26.36	139.92	4.2646	1.345	52.563	2.83	5.16	34.41	133.20	45.65	True	no
868	Aragonite	3.33	2.0591	8	80.19	137.19	2.2934	1.2406	46.177	0.79	1.73	54.23	109.90	173.95	True	no
869	Aragonite	1.8	1.5139	4	86.35	137.10	1.9901	1.7281	49.966	0.52	1.19	21.67	158.93	143.15	True	no
870	Aragonite	2.25	1.6926	6	162.44	136.96	1.97	1.3547	36.156	1.04	2.00	176.88	83.11	124.55	True	no
871	Aragonite	1.8	1.5139	4	174.90	137.35	2.5848	2.9153	102.26	1.48	2.24	130.23	155.95	98.71	True	no
872	Aragonite	7.11	3.0088	6	185.01	138.44	3.8062	1.6003	6.3043	0.97	2.38	151.06	149.76	116.25	True	no
873	Aragonite	0.99	1.1227	3	199.00	135.27	1.3019	1.3447	54.992	0.96	1.30	53.74	121.86	31.53	True	no
874	Aragonite	2.34	1.7261	5	205.54	136.73	3.1627	3.3574	35.804	0.52	1.60	22.61	65.64	31.13	True	no
875	Aragonite	3.06	1.9739	4	284.26	137.44	2.1492	1.1856	31.549	0.70	1.48	174.45	23.25	2.68	True	no
876	Aragonite	7.74	3.1392	7	310.84	139.19	3.3919	1.1674	130.97	1.49	3.96	55.02	68.92	64.06	True	no
877	Aragonite	3.15	2.0027	4	317.71	137.23	2.2497	1.2619	79.42	0.90	2.84	56.51	123.13	80.15	True	no
878	Aragonite	2.16	1.6584	4	339.29	135.50	1.9368	1.364	0.92505	1.32	2.36	39.87	100.20	71.57	True	no
879	Aragonite	2.43	1.759	5	18.78	138.04	2.2607	1.6518	78.999	0.64	1.65	130.77	55.97	41.15	True	no
880	Aragonite	1.8	1.5139	5	35.35	137.25	1.8871	1.5538	63.1	0.86	1.24	134.29	139.90	126.11	True	no
881	Aragonite	1.53	1.3957	4	75.24	136.94	1.6279	1.3604	82.868	0.39	0.80	50.81	109.41	169.20	True	no
882	Aragonite	1.26	1.2666	5	167.14	136.64	1.4777	1.3611	82.427	0.75	2.35	21.32	70.22	23.44	True	no
883	Aragonite	1.44	1.3541	3	178.44	137.38	1.775	1.7184	106.38	1.23	1.78	50.51	127.04	32.53	True	no
884	Aragonite	3.06	1.9739	5	243.56	139.50	2.406	1.4858	85.74	0.80	1.97	154.28	17.14	24.86	True	no
885	Aragonite	1.53	1.3957	2	297.65	136.12	1.6404	1.3814	1.0451	0.81	1.47	113.63	11.30	66.79	True	no
886	Aragonite	5.22	2.578	6	335.88	139.67	3.0798	1.4271	146.1	1.07	2.40	105.35	111.61	86.11	True	no
887	Aragonite	5.76	2.7081	5	356.63	140.80	3.5417	1.7103	115.28	1.24	2.68	174.49	73.23	132.56	True	no
888	Aragonite	6.93	2.9704	4	368.17	139.61	3.255	1.2007	129.42	1.37	3.40	83.27	122.91	73.10	True	no
889	Aragonite	0.9	1.0705	3	14.80	137.30	1.2388	1.3393	36.323	0.46	0.72	137.91	142.36	126.63	True	no
890	Aragonite	0.9	1.0705	4	72.20	137.50	1.2526	1.3693	90	0.44	0.70	175.64	11.67	59.03	True	no
891	Aragonite	6.12	2.7915	4	111.75	140.29	3.239	1.3463	161.52	0.59	1.25	124.44	86.18	34.23	True	no
892	Aragonite	1.8	1.5139	1	142.55	139.35	1.7694	1.3661	55.667	0.72	1.47	92.57	40.39	49.64	True	no
893	Aragonite	1.17	1.2205	3	153.46	139.23	1.9858	2.647	63.114	0.62	1.25	59.13	125.43	77.25	True	no
