Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current dataset	Border_grain
1559	Aragonite	3.072	1.9777	4	184.63	200.97	2.4028	1.4761	98.901	0.59	0.99	35.90	104.42	117.06	True	no
1560	Aragonite	9.5232	3.4821	6	227.15	203.08	4.8826	1.9661	28.629	1.31	3.45	7.36	98.67	16.91	True	no
1561	Aragonite	1.2288	1.2508	4	255.33	198.08	1.3925	1.2393	34.722	0.79	1.00	41.23	24.73	141.95	True	no
1562	Aragonite	2.3552	1.7317	6	257.74	200.48	2.3906	1.9058	76.034	0.69	1.53	152.63	35.98	57.60	True	no
1563	Aragonite	1.8432	1.5319	3	285.67	199.72	2.167	2.0009	128.35	0.57	1.10	149.36	90.92	50.08	True	no
1564	Aragonite	1.6384	1.4443	4	296.81	200.69	2.3768	2.708	87.418	0.68	1.83	80.45	109.89	149.91	True	no
1565	Aragonite	2.8672	1.9107	6	324.43	199.46	2.0517	1.1531	152.6	0.82	1.83	2.90	86.26	109.47	True	no
1566	Aragonite	4.5056	2.3951	7	341.75	200.41	3.4398	2.0626	145.33	0.78	1.87	50.30	164.94	82.53	True	no
1567	Aragonite	1.536	1.3985	4	345.93	198.80	1.7214	1.5151	104.72	0.33	0.78	19.07	130.94	84.84	True	no
1568	Aragonite	3.1744	2.0104	3	350.97	199.29	2.4494	1.4844	162.18	0.65	1.14	75.64	64.10	104.86	True	no
1569	Aragonite	1.9456	1.5739	3	359.47	200.47	2.1004	1.7809	92.756	0.60	1.37	105.65	102.75	147.99	True	no
1570	Aragonite	1.024	1.1418	3	370.70	198.60	1.6072	1.9813	143.85	0.88	1.50	66.97	48.84	99.31	True	no
1571	Aragonite	1.1264	1.1976	4	380.91	198.18	1.8037	2.2685	146.98	0.51	1.45	116.34	51.23	113.20	True	no
1572	Aragonite	3.6864	2.1665	7	414.39	201.19	3.5644	2.7068	52.426	0.79	1.74	1.76	70.32	112.65	True	no
1573	Aragonite	6.5536	2.8887	8	434.09	204.67	4.2036	2.1177	88.502	0.80	2.00	54.36	127.48	31.39	True	no
1574	Aragonite	1.4336	1.351	4	438.14	198.93	1.7414	1.6614	66.875	0.74	1.60	178.42	138.73	8.58	True	no
1575	Aragonite	2.2528	1.6936	4	29.45	200.36	1.8664	1.2144	40.601	0.52	1.35	166.62	88.47	163.21	True	no
1576	Aragonite	2.1504	1.6547	6	82.86	199.90	1.7083	1.0658	52.577	0.92	1.83	97.30	51.59	35.67	True	no
1577	Aragonite	1.536	1.3985	3	108.80	200.47	1.8427	1.7362	104.59	1.09	1.92	73.79	65.43	45.13	True	no
1578	Aragonite	3.072	1.9777	4	144.47	200.97	2.5846	1.7078	47.58	0.97	1.79	109.48	17.04	110.43	True	no
1579	Aragonite	3.3792	2.0743	3	190.30	202.06	2.5018	1.4547	111.89	1.62	3.15	10.52	102.80	20.06	True	no
1580	Aragonite	7.168	3.021	4	219.20	201.27	5.0674	2.8136	7.7519	1.00	2.08	50.01	155.70	47.37	True	no
1581	Aragonite	1.1264	1.1976	4	236.36	198.91	1.4255	1.4169	15.071	1.10	1.23	19.37	97.97	28.56	True	no
1582	Aragonite	2.2528	1.6936	6	374.32	201.18	2.2421	1.7526	120.29	0.84	1.69	64.55	33.96	51.10	True	no
1583	Aragonite	2.2528	1.6936	4	429.09	200.23	1.905	1.2652	17.181	0.48	1.16	130.53	100.68	108.67	True	no
1584	Aragonite	1.024	1.1418	4	473.00	199.50	1.4591	1.633	116.57	0.29	0.97	143.38	95.75	169.63	True	no
1585	Aragonite	1.8432	1.5319	4	41.00	202.06	2.0301	1.7562	107.32	0.61	0.85	110.24	22.12	11.28	True	no
1586	Aragonite	4.608	2.4222	7	64.82	204.53	3.6624	2.2861	123.24	2.03	4.75	142.79	118.33	11.88	True	no
1587	Aragonite	1.3312	1.3019	4	79.15	201.23	1.7897	1.8898	78.69	0.46	0.91	20.28	32.66	99.07	True	no
1588	Aragonite	1.024	1.1418	3	101.00	200.50	1.4591	1.633	116.57	0.77	2.23	167.56	153.58	37.12	True	no
1589	Aragonite	3.1744	2.0104	3	236.58	201.81	2.5846	1.6528	13.457	0.74	2.07	67.56	147.93	61.04	True	no
1590	Aragonite	5.7344	2.7021	8	248.95	202.48	3.8926	2.0753	10.072	1.39	3.42	64.38	149.25	55.61	True	no
1591	Aragonite	2.7648	1.8762	4	275.96	202.74	2.5609	1.863	91.156	0.83	1.71	154.05	141.61	40.50	True	no
1592	Aragonite	2.6624	1.8412	5	367.77	201.23	2.2072	1.4371	9.1513	0.70	1.58	17.03	24.53	81.74	True	no
1593	Aragonite	2.048	1.6148	6	379.35	200.95	1.6741	1.0748	132.57	0.80	1.27	64.80	45.00	101.39	True	no
1594	Aragonite	3.2768	2.0426	7	423.06	202.34	2.7422	1.8023	51.348	0.65	1.33	76.71	110.91	92.56	True	no
1595	Aragonite	2.9696	1.9445	4	468.52	201.41	2.1265	1.196	109.11	0.55	1.54	112.54	152.75	103.40	True	no
1596	Aragonite	2.4576	1.7689	6	477.17	201.79	2.1435	1.4683	125.25	0.93	1.44	119.98	156.80	154.31	True	no
1597	Aragonite	7.7824	3.1478	9	489.71	204.55	3.7051	1.3854	161.84	1.25	2.68	17.69	130.66	104.57	True	no
1598	Aragonite	2.6624	1.8412	6	499.92	201.81	1.9784	1.1546	148.57	0.64	0.93	157.90	91.13	165.37	True	no
1599	Aragonite	2.2528	1.6936	2	16.68	202.64	2.316	1.8701	147.92	0.94	1.32	129.78	167.53	165.89	True	no
1600	Aragonite	2.4576	1.7689	5	24.71	202.79	2.4111	1.8579	138.33	0.98	1.97	51.43	5.86	86.72	True	no
1601	Aragonite	1.4336	1.351	2	60.29	202.64	2.0817	2.3741	85.192	0.75	1.32	139.21	146.94	27.82	True	no
