Nr.,Phase,Area,d,l,Xcg,Ycg,Major,Aspect_ratio,Slope,GOS,MOS,Mean_E1,Mean_E2,Mean_E3,In_current_dataset,Border_grain,Log_Area,Log_Major,Minor,Log_Minor
64,Aragonite,1.62,1.4362,3,44.11,19.94,1.6214,1.2746,141.53,0.76,0.98,131.74,37.81,37.22,True,no,0.482426149244293,0.48328997357147,0.99913654866165,-0.00086382432717697
65,Aragonite,2.25,1.6926,2,104.48,20.88,2.0399,1.4525,79.741,0.46,0.98,154.4,86.67,135.72,True,no,0.810930216216329,0.712900787046782,1.10299524486494,0.0980294291695472
66,Aragonite,1.35,1.3111,0,519,20.27,1.4022,1.1438,90,0.42,0.78,4.69,99.37,161.78,True,no,0.300104592450338,0.33804243179073,0.962772785622593,-0.037937839340392
67,Aragonite,0.9,1.0705,0,544.2,19,1.2039,1.2649,90,0.66,0.83,57.88,29,65.75,True,no,-0.105360515657826,0.185566286958844,0.74757039621231,-0.29092680261667
68,Aragonite,6.66,2.912,4,1.81,23.32,2.9737,2.0856,70.908,0.65,1.45,11.95,85.33,24.47,True,edge,1.8961194845523,1.08980696870637,2.2396341258365,0.806312515845926
69,Aragonite,1.26,1.2666,4,20.79,21.07,1.4389,1.2906,32.819,0.3,0.37,133.09,57.58,139.26,True,no,0.231111720963387,0.363878932787235,0.875668913753562,-0.132767211823848
70,Aragonite,7.38,3.0654,4,73.12,24.4,3.4945,1.2996,59.163,0.61,1.21,36.37,144.59,64.89,True,no,1.99877363861238,1.25119030393505,2.11189011303477,0.747583334677335
71,Aragonite,6.93,2.9704,7,83.22,23.69,3.3835,1.2974,139.49,0.76,1.52,55.91,140.3,80.8,True,no,1.93585981320181,1.21891067669014,2.04817496675041,0.716949136511669
72,Aragonite,0.9,1.0705,0,340.2,20.5,1.2526,1.3693,90,0.93,0.93,83.61,84.42,34.81,True,no,-0.105360515657826,0.225221391109175,0.718505508542232,-0.330581906767002
73,Aragonite,2.7,1.8541,4,54.57,24.47,3.0425,2.6927,77.64,0.66,1.34,35.32,83.7,92.02,True,no,0.993251773010283,1.11267954587955,0.887428101889893,-0.119427772869262
74,Aragonite,2.52,1.7912,4,59.25,22.18,1.9089,1.1356,170.02,0.6,1.02,161.43,82.76,149.16,True,no,0.924258901523332,0.646527159924719,1.32013201320132,0.277731741598613
