"","Nr.","Phase","Area","d","l","Xcg","Ycg","Major","Aspect_ratio","Slope","GOS","MOS","Mean_E1","Mean_E2","Mean_E3","In_current_dataset","Border_grain","Log_Area","Log_Major","Minor","Log_Minor"
"67",67,"Aragonite",2.1025,1.6361,1,542.68,59.28,1.7718,1.1726,54.92,1.36,2.61,70.23,67.93,110.06,"True","no",0.743127112864966,0.571995978995795,1.18664634834631,0.171131133869171
"68",68,"Aragonite",1.2615,1.2674,3,631.27,59.47,1.4895,1.3813,111.61,0.4,0.73,28.8,93.06,121.94,"True","no",0.232301489098975,0.3984404931712,0.846928499496475,-0.166139004072225
"69",69,"Aragonite",5.7188,2.6984,5,656.91,62.38,3.3264,1.5196,60.009,0.72,1.46,84.76,73.24,103.83,"True","no",1.74375899317287,1.20189063812161,1.71921596921597,0.541868355051261
"70",70,"Aragonite",4.3732,2.3597,6,665.19,61.15,2.6444,1.2559,150.47,0.54,1.62,148.27,130.87,10.11,"True","no",1.47549500657819,0.972444196477286,1.65375888670398,0.503050810100907
"71",71,"Aragonite",3.8686,2.2194,2,721,58.83,1.5759,1.0084,90,0.34,0.86,116.45,24.34,71.23,"True","edge",1.35289268448586,0.454826537645889,2.45485119614189,0.898066146839972
"72",72,"Aragonite",1.8502,1.5348,4,705.27,60.45,1.9929,1.6859,95.143,0.63,1.17,145.56,112.8,70.14,"True","no",0.615293741355081,0.689590864357168,0.928395805108134,-0.0742971230020869
"73",73,"Aragonite",1.4297,1.3492,3,713,59.59,1.6966,1.5813,39.996,0.51,1.1,140.88,152.12,158.49,"True","no",0.357464632052981,0.528626248391497,0.842685370741483,-0.171161616338516
"74",74,"Aragonite",2.8594,1.9081,3,537.09,62.06,2.5793,1.8274,25.712,0.78,2.28,68.6,62.55,115.09,"True","no",1.05061181261293,0.947518044290728,1.10859535532897,0.103093768322199
"75",75,"Aragonite",1.8502,1.5348,4,602.68,60.45,2.1037,1.8787,6.3879,0.9,2.9,134.4,11.72,58.63,"True","no",0.615293741355081,0.743697699157846,0.879498027285259,-0.128403957802765
"76",76,"Aragonite",3.1117,1.9905,5,643.78,65.24,2.8234,2.012,64.52,1.11,2.2,54.21,90.63,120.6,"True","no",1.13516920064099,1.03794183246796,1.1021109300843,0.0972273681730275
"77",77,"Aragonite",1.0092,1.1336,1,692.08,60.67,1.2619,1.2393,124.72,0.23,0.28,169.9,153.99,163.05,"True","no",0.00915793778476572,0.232618521676728,0.799746414137412,-0.223460583891962
"78",78,"Aragonite",0.841,1.0348,1,708.1,60.3,1.4858,2.0616,52.125,1.23,1.93,35.77,64.53,76.37,"True","no",-0.173163619009189,0.395953347735569,0.566025037017095,-0.569116966744758
"79",79,"Aragonite",1.2615,1.2674,3,609,60.87,1.9113,2.2743,90,0.55,0.77,16.13,57.12,170.92,"True","no",0.232301489098975,0.647783638808415,0.660021974572281,-0.41548214970944
"80",80,"Aragonite",2.6071,1.8219,3,640,62.58,1.9323,1.1249,90,1.19,1.99,115.42,66.79,109.36,"True","no",0.958238492481912,0.658711003238818,1.34922113543446,0.299527489243094
"81",81,"Aragonite",4.0368,2.2671,4,649.21,63.21,2.596,1.3112,114.85,0.68,1.73,72.8,9.5,62.71,"True","no",1.39545229890466,0.953971798841844,1.55500770416025,0.441480500062813
"82",82,"Aragonite",0.9251,1.0853,3,670.55,62.27,1.9603,3.2626,93.058,0.52,1.41,138.66,68.01,8.51,"True","no",-0.0778534392048641,0.673097522754242,0.471917563638219,-0.750950961959106
"83",83,"Aragonite",3.8686,2.2194,5,529.52,67.11,3.3045,2.2169,90.634,1.14,2.34,21.95,91.65,128.96,"True","no",1.35289268448586,1.19528517592837,1.17070661219549,0.15760750855749
"84",84,"Aragonite",8.4941,3.2886,6,554.26,65.05,4.6908,2.0345,11.746,0.75,2.18,8.48,102.03,169.21,"True","no",2.13937180483802,1.54560314360477,1.81079986356272,0.593768661233252
"85",85,"Aragonite",2.4389,1.7622,4,702.52,64,2.0119,1.3036,118.51,0.66,1.21,99.57,86.76,62.48,"True","no",0.891547117983239,0.699079549213053,1.21223718872707,0.192467568770186
"86",86,"Aragonite",2.2707,1.7003,5,715.48,63.44,2.3102,1.8459,164.02,0.48,0.77,116.4,20.2,68.53,"True","no",0.820088154001094,0.837334100872443,0.982901913254264,-0.0172459468713484
"87",87,"Aragonite",0.841,1.0348,3,718.5,62,1.3223,1.633,153.43,0.24,0.38,175.52,66.14,19.63,"True","no",-0.173163619009189,0.27937264458064,0.636013007638206,-0.452536263589829
"88",88,"Aragonite",2.2707,1.7003,4,565.93,65.15,2.1081,1.5371,148.35,1.02,1.94,134.19,15.28,61.68,"True","no",0.820088154001094,0.745787067884125,1.07713106588872,0.07430108611697
"89",89,"Aragonite",2.6912,1.8511,3,580.84,64.81,2.0078,1.1765,149.47,0.71,1.02,157.25,91.81,112.74,"True","no",0.989987190796492,0.697039595275289,1.34037254706644,0.292947595521203
"90",90,"Aragonite",12.615,4.0077,10,607.07,66.39,5.6808,2.0092,179.72,1.38,3.41,6.57,120.19,170.96,"True","no",2.53488658209302,1.73709206788575,2.22063793831855,0.797794514207274
"91",91,"Aragonite",1.4297,1.3492,3,619.71,63.76,2.2626,2.8124,30.258,0.6,1.18,137.88,9.38,55.91,"True","no",0.357464632052981,0.816514594510229,0.631883673649783,-0.459049962457248
"92",92,"Aragonite",1.2615,1.2674,6,624.93,64.93,1.8029,2.0237,103.94,0.58,0.9,171.04,77.05,0.5,"True","no",0.232301489098975,0.589396479566017,0.699706029175218,-0.357094990467042
"93",93,"Aragonite",1.0092,1.1336,4,626.92,63.75,1.4019,1.5294,120.34,0.57,1.23,169.26,20.25,1.65,"True","no",0.00915793778476572,0.337828459392353,0.719880162636422,-0.328670521607587
"94",94,"Aragonite",5.7188,2.6984,8,633.75,65.79,3.2683,1.467,150.08,0.9,2.71,168.01,136.08,174.41,"True","no",1.74375899317287,1.18426997205007,1.74977817213842,0.559489021122804
"95",95,"Aragonite",11.269,3.788,4,508.74,72.55,4.8039,1.6083,82.408,2.3,5.29,66.42,23.7,155.07,"True","no",2.42205559297021,1.5694280880144,2.3458023689086,0.852627504955809
"96",96,"Aragonite",0.841,1.0348,4,576,64.2,1.1638,1.2649,90,0.49,1.1,129.94,14.68,65.6,"True","no",-0.173163619009189,0.151690513240432,0.722632754768861,-0.324854132249621
"97",97,"Aragonite",0.9251,1.0853,0,241.82,65.82,1.106,1.0385,45,0.5,0.64,176.96,162.26,47.09,"True","no",-0.0778534392048641,0.100749903100143,0.836437613019892,-0.178603342305007
"98",98,"Aragonite",1.4297,1.3492,2,527.35,65.88,1.8026,1.785,43.577,0.66,1.54,115.96,141.78,62.98,"True","no",0.357464632052981,0.589230067140172,0.79313214246089,-0.231765435087191
"99",99,"Aragonite",9.5874,3.4939,5,541.39,68.85,4.5546,1.6994,155.88,1.87,3.95,144.94,52.33,68.44,"True","no",2.26044973639126,1.51613771126864,2.10499275457779,0.74431202512262
"100",100,"Aragonite",6.8121,2.9451,5,571.68,69.8,3.5583,1.4598,74.819,0.8,1.73,28.05,37.44,122.9,"True","no",1.9187004426692,1.2692829027212,1.91442542787286,0.649417539948001
"101",101,"Aragonite",1.0092,1.1336,3,593.25,65.75,1.2379,1.1926,169.72,0.81,1.7,144.88,80.29,26.87,"True","no",0.00915793778476572,0.213416395555628,0.815251635834882,-0.204258457770862
"102",102,"Aragonite",1.5138,1.3883,4,667.72,66.72,1.7644,1.6152,74.189,0.46,1.62,114.95,16.7,28.35,"True","no",0.41462304589293,0.567810689248648,0.857968714577193,-0.153187643355718
"103",103,"Aragonite",1.5138,1.3883,4,684.28,66,1.6986,1.497,137.09,0.42,0.58,157.18,151.57,152.25,"True","no",0.41462304589293,0.529804382363772,0.89120452137054,-0.115181336470842
"104",104,"Aragonite",0.9251,1.0853,2,698.82,65.45,1.3316,1.5054,131.03,0.35,1.81,133.82,89.66,32.3,"True","no",-0.0778534392048641,0.286381226718733,0.694728146590568,-0.364234665923597
"105",105,"Aragonite",2.6912,1.8511,2,721.31,66.13,1.8471,1.9913,39.843,0.72,1.23,178.99,72.83,20.2,"True","edge",0.989987190796492,0.613616841603137,1.45698662768664,0.376370349193355
"106",106,"Aragonite",28.93,6.0692,10,495.17,77.85,6.3699,1.1016,168.18,1.98,3.84,69.82,24.15,154.86,"True","no",3.36487911898804,1.85158377087372,4.54167255372926,1.51329534811432
"107",107,"Aragonite",9.0828,3.4007,8,651.76,71.25,7.1019,4.3613,20.995,1.51,2.62,159.8,161.49,138.11,"True","no",2.20638251512099,1.96036235388107,1.27892535800279,0.246020161239914
"108",108,"Aragonite",0.9251,1.0853,4,663.64,66.91,1.6016,2.1777,85.269,0.48,0.88,109.68,76.71,46.05,"True","no",-0.0778534392048641,0.471003129578819,0.57760989010989,-0.548856568783683
"109",109,"Aragonite",9.8397,3.5395,11,692.56,70.62,4.522,1.6322,15.1,1.04,3.02,135.07,29.34,49.83,"True","no",2.28642522279452,1.50895437385578,2.17596196373286,0.777470848938743
"110",110,"Aragonite",6.4757,2.8714,7,710.39,71.56,4.76,2.748,55.631,1.04,2.34,104.29,135.28,67.94,"True","no",1.86805670985045,1.56024766824333,1.36044117647059,0.30780904160712
"111",111,"Aragonite",1.2615,1.2674,1,492.13,68.27,1.7176,1.8367,131.03,0.27,0.69,148.54,78.69,95.28,"True","no",0.232301489098975,0.540927967582434,0.734455053563111,-0.308626478483459
