Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current_dataset	Border_grain
3168	Aragonit	0.1584	0.44909	2	846.18	650.82	0.49908	1.235	162.86	0.34	0.96	125.20	106.22	16.51	True	no
3169	Aragonit	0.36	0.67703	2	869.80	650.76	1.0887	2.5861	3.6172	0.55	0.77	126.39	108.11	74.28	True	no
3170	Aragonit	0.5616	0.84561	2	884.15	651.49	0.95507	1.2756	30.71	0.56	1.29	102.19	125.01	81.93	True	no
3171	Aragonit	0.8064	1.0133	4	832.73	654.73	1.2119	1.4306	121.84	0.66	1.30	105.42	130.53	101.15	True	no
3172	Aragonit	3.6	2.1409	4	614.44	664.36	4.0817	3.6347	123.18	0.67	1.79	85.20	164.45	92.50	True	no
3173	Aragonit	0.3744	0.69044	1	453.50	655.12	0.95708	1.9215	132.65	0.36	0.89	64.63	162.23	124.68	True	no
3174	Aragonit	0.504	0.80107	3	570.66	655.11	0.90732	1.2828	21.3	0.49	0.91	29.95	16.26	87.97	True	no
3175	Aragonit	1.6704	1.4584	5	712.77	662.65	2.4418	2.8035	94.283	0.86	1.93	128.76	147.37	161.41	True	no
3176	Aragonit	3.0816	1.9808	6	558.64	666.51	3.1175	2.477	69.638	0.60	2.36	20.43	13.94	159.96	True	no
3177	Aragonit	3.0816	1.9808	6	572.89	662.00	2.3492	1.4065	25.647	0.56	2.71	30.04	16.35	24.36	True	no
3178	Aragonit	0.6192	0.88791	4	585.91	657.09	1.1866	1.7859	45.513	0.60	1.79	83.32	163.73	155.45	True	no
3179	Aragonit	0.1872	0.48821	3	695.15	654.77	0.61446	1.584	60.423	0.46	1.63	132.12	176.07	127.26	True	no
3180	Aragonit	0.8064	1.0133	3	732.30	659.57	1.6904	2.783	97.782	0.53	1.27	137.62	146.45	178.31	True	no
3181	Aragonit	0.1584	0.44909	2	843.36	654.91	0.54654	1.4811	118.52	0.31	0.62	125.51	106.30	16.40	True	no
3182	Aragonit	0.288	0.60555	2	876.75	654.90	0.62861	1.0776	108.26	0.93	1.18	109.50	16.20	17.93	True	no
3183	Aragonit	1.9296	1.5674	6	720.73	660.55	1.7583	1.2583	60.586	0.91	3.00	130.92	149.92	110.22	True	no
3184	Aragonit	0.288	0.60555	3	748.60	657.00	0.89975	2.2077	73.78	0.65	1.34	146.19	147.08	123.85	True	no
3185	Aragonit	0.1728	0.46906	2	794.00	655.58	0.62644	1.7836	137.21	0.44	1.12	103.84	127.82	41.70	True	no
3186	Aragonit	0.1872	0.48821	1	859.15	655.31	0.60467	1.534	16.752	0.29	0.76	126.47	107.73	136.87	True	no
3187	Aragonit	2.0304	1.6079	6	867.57	662.52	2.0862	1.6836	67.498	0.72	1.72	126.50	105.66	62.97	True	no
3188	Aragonit	2.4336	1.7603	5	940.78	662.41	1.9942	1.2835	102.3	0.51	1.37	105.81	146.87	58.50	True	no
3189	Aragonit	0.432	0.74165	4	497.47	660.63	1.1036	2.2143	72.172	0.62	1.22	167.40	158.11	5.91	True	no
3190	Aragonit	0.9792	1.1166	2	550.81	662.25	1.6484	2.1793	111.35	0.67	1.62	21.24	14.18	31.77	True	no
3191	Aragonit	1.9872	1.5907	5	649.95	665.46	3.0445	3.6633	115.56	0.92	2.10	134.68	170.09	24.39	True	no
3192	Aragonit	0.7488	0.97642	5	752.58	660.10	1.2122	1.5413	98.527	0.49	1.52	148.87	139.27	112.37	True	no
3193	Aragonit	0.1728	0.46906	1	801.08	656.33	0.52218	1.2393	55.278	0.11	0.33	103.73	127.95	42.11	True	no
3194	Aragonit	0.3888	0.70359	4	804.41	658.04	0.81755	1.3502	23.996	0.81	1.20	104.20	128.43	165.12	True	no
3195	Aragonit	0.3744	0.69044	2	912.92	657.69	1.0064	2.1245	48.945	0.94	1.42	129.82	103.24	6.43	True	no
3196	Aragonit	8.3808	3.2666	3	1003.79	667.87	2.8384	1.51	118.78	0.71	2.05	81.46	149.06	14.52	True	edge
3197	Aragonit	0.6048	0.87753	3	485.60	658.55	1.0636	1.4691	171.09	0.59	1.25	168.57	158.60	58.86	True	no
3198	Aragonit	0.2304	0.54162	2	594.69	658.13	0.63831	1.3889	88.5	0.76	1.34	87.87	162.92	168.10	True	no
3199	Aragonit	0.2304	0.54162	3	641.88	659.13	0.94203	3.0251	73.363	0.83	2.14	126.43	166.43	15.77	True	no
3200	Aragonit	1.9584	1.5791	4	791.62	664.32	2.2113	1.961	97.291	0.64	2.54	120.01	131.40	47.80	True	no
3201	Aragonit	3.0528	1.9715	8	882.67	663.78	2.3211	1.386	5.1512	0.71	2.07	127.21	105.32	126.79	True	no
3202	Aragonit	4.6512	2.4335	10	637.24	669.01	2.8276	1.3501	158.99	0.91	2.64	118.70	167.06	135.82	True	no
3203	Aragonit	1.1088	1.1882	5	695.62	664.05	1.632	1.8866	84.649	0.78	2.05	112.34	11.35	165.85	True	no
3204	Aragonit	0.2448	0.55829	3	728.94	659.65	0.80348	2.0712	94.308	0.40	0.64	141.43	148.57	65.67	True	no
3205	Aragonit	0.4464	0.75391	3	919.39	661.32	1.3269	3.0978	101.43	0.56	0.94	130.56	103.86	11.40	True	no
