Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
2267	Aragonite	1.5	1.382	4	178.13	202.08	1.6844	1.4856	93.801	1.41	3.09	133.58	95.67	48.81	True	no
2268	Aragonite	1.125	1.1968	4	280.50	202.11	1.5232	1.6197	90	0.70	1.04	69.17	62.03	96.22	True	no
2269	Aragonite	1.3125	1.2927	0	319.00	201.90	1.6601	1.6491	81.196	0.31	0.54	80.56	74.08	95.53	True	no
2270	Aragonite	1.5	1.382	0	432.83	201.38	1.6816	1.4807	104.49	0.61	1.38	137.84	109.13	28.50	True	no
2271	Aragonite	0.8125	1.0171	3	534.08	200.15	1.3094	1.6574	29.783	0.42	1.13	119.29	115.23	39.48	True	no
2272	Aragonite	2.625	1.8282	4	122.17	204.31	2.2637	1.5331	115.3	0.62	1.55	122.14	119.15	76.31	True	no
2273	Aragonite	0.625	0.89206	4	125.20	201.30	1.1414	1.637	108.22	0.65	1.08	166.01	124.58	42.11	True	no
2274	Aragonite	1.4375	1.3529	3	140.91	203.43	1.8337	1.8372	86.801	0.45	1.00	160.21	117.23	43.21	True	no
2275	Aragonite	0.75	0.97721	3	185.50	201.67	1.434	2.1534	120.88	1.04	1.54	173.88	132.48	63.82	True	no
2276	Aragonite	1.875	1.5451	4	204.60	203.07	1.7876	1.3386	133.33	0.94	1.93	88.10	42.67	72.54	True	no
2277	Aragonite	1.375	1.3231	3	289.18	202.91	1.4843	1.2585	112.71	0.48	0.94	26.44	91.34	103.61	True	no
2278	Aragonite	0.875	1.0555	1	360.00	201.43	1.1949	1.2815	50.062	0.58	1.26	32.84	169.19	106.30	True	no
2279	Aragonite	0.75	0.97721	0	382.00	201.50	1.1435	1.3693	90	0.62	0.62	141.02	12.80	139.30	True	no
2280	Aragonite	9.1875	3.4202	6	462.52	207.29	4.4531	1.6952	149.37	0.91	2.43	145.29	151.10	26.91	True	no
2281	Aragonite	0.625	0.89206	2	462.50	201.00	1.14	1.633	153.43	0.41	0.52	8.12	44.63	132.65	True	no
2282	Aragonite	2.8125	1.8923	6	489.00	203.71	2.1996	1.3511	135.77	1.02	2.79	1.83	18.21	130.32	True	no
2283	Aragonite	1.5	1.382	6	137.58	204.92	2.4879	3.2409	119.34	0.58	1.08	118.59	67.99	41.04	True	no
2284	Aragonite	3.3125	2.0537	2	148.58	205.11	2.6128	1.6187	121.01	0.95	3.16	138.49	115.61	39.74	True	no
2285	Aragonite	1.25	1.2616	2	275.75	204.40	1.6988	1.8133	72.007	0.90	2.02	46.54	51.77	90.43	True	no
2286	Aragonite	0.625	0.89206	4	284.20	202.00	1.0033	1.2649	90	0.18	0.30	69.98	70.04	90.39	True	no
2287	Aragonite	1.6875	1.4658	1	325.63	206.41	2.6018	3.1507	103.55	1.01	1.52	80.27	96.94	88.38	True	no
2288	Aragonite	0.875	1.0555	5	481.36	202.36	1.4418	1.8658	27.835	0.62	0.72	79.79	71.16	40.79	True	no
2289	Aragonite	2.5	1.7841	4	574.45	203.82	2.3417	1.7228	31.537	0.88	2.12	61.74	34.45	53.20	True	no
2290	Aragonite	3.0625	1.9747	6	100.49	206.76	2.7684	1.9655	93.85	0.85	1.92	119.08	84.93	5.98	True	no
